url,category_code,category_description,date_added,source,notes
http://www.asiafinest.com/,ALDR,Alcohol & Drugs,2014-04-15,citizenlab,
http://www.linguamatix.com/,COMT,Communication Tools,2014-04-15,citizenlab,
http://www.casinocity.com/,GMB,Gambling,2014-04-15,citizenlab,
http://www.usj.com.my/,GRP,Social Networking,2014-04-15,citizenlab,
